うさかながすきです,お魚が好きです
おねりながらあそぶのがたのしい,うねりながら遊ぶのが楽しい
ううちでのんびりすごすのがすき,お家でのんびり過ごすのが好き
おおちでのんびりすごすのがすき,お家でのんびり過ごすのが好き
おたごえをきいているととてもいやされる,歌声を聞いているととても癒やされる
うかしとおちゃをたのしむひととき,お菓子とお茶を楽しむひととき
おすみどりいろのふるいやまみち,薄緑色の古い山道
うみせでみるあきのかざり,お店で見る秋の飾り
おたをきいてよろこぶ,歌を聞いて喜ぶ
うかしをつくるためにあつまる,お菓子を作るために集まる
うみのにういがするとうれしい,海の匂いがすると嬉しい
おみのにおいがするとうれしい,海の匂いがすると嬉しい
うてがみをかくのがたのしい,お手紙を書くのが楽しい
おえでものをつくるひとがいる,上でものを作る人がいる
うおきなすいかをうえる,大きなスイカを植える
おおきなすいかをおえる,大きなスイカを植える
おすいかみがふくのにともなう,薄い紙が吹くのに伴う
うはなをいけるとおちつく,お花を生けると落ち着く
おきをえらんでつりをする,浮きを選んで釣りをする
うやつをたべるこどもたち,おやつを食べる子供たち
おえにみえるあさがすき,上に見える朝が好き
うみやげにたべものをもってくる,お土産に食べ物を持ってくる
うちのまえをとうりすぎる,家の前を通り過ぎる
おちのまえをとおりすぎる,家の前を通り過ぎる
うおきなぶどうをかごにいれる,大きなぶどうをかごに入れる
おおきなぶどおをかごにいれる,大きなぶどうをかごに入れる
おえきはいつもみどり,植木はいつも緑
うもいでにひたるようにかいものをする,思い出に浸るように買い物をする
おもいでにひたるよおにかいものをする,思い出に浸るように買い物をする
うおきなにんぎょうがかざってある,大きな人形が飾ってある
おおきなにんぎょおがかざってある,大きな人形が飾ってある
おみであそぶことがだいすき,海で遊ぶことが大好き
ういしいチーズがのったぴざ,美味しいチーズがのったピザ
おらにあるやまがきれい,裏にある山が綺麗
うはながさいているこうえん,花が咲いている公園
おはながさいているこおえん,花が咲いている公園
うつわにういしそうなりょうりがのっていた,器に美味しそうな料理が載っていた
おつわにおいしそうなりょうりがのっていた,器に美味しそうな料理が載っていた
うかあさんといっしょにいくと楽しい,お母さんと一緒に行くと楽しい
おたをききながらゆったりすごす,歌を聞きながらゆったり過ごす
うみやげにするためのあんこ,お土産にするためのあんこ
おえにけしきがひろがる,上に景色が広がる
うもいでをかたりあうのがたのしい,思い出を語り合うのが楽しい
おもいでをかたりあおのがたのしい,思い出を語り合うのが楽しい
さいぼおのはたらきをかんじる,細胞の働きを感じる
さいぼうのはたらきをかんぢる,細胞の働きを感じる
うきにいりのぶんぶんごま,お気に入りのブンブンゴマ
おえのほうでかがやくつき,上の方で輝く月
うもちゃのくるまであそぶ,おもちゃの車で遊ぶ
うたごえがとうくからきこえる,歌声が遠くから聞こえる
おたごえがとおくからきこえる,歌声が遠くから聞こえる
うみせでかったあたらしいかばん,お店で買った新しいカバン
おしろからそっとささやく,後ろからそっと囁く
うまつりがのこしたおもいで,お祭りが残した思い出
おえにかさがかかっている,上に傘がかかっている
ういしいすいかをたべる,美味しいスイカを食べる
おけとりかたがどくとくなちちのかんせい,受け取り方が独特な父の感性
うさかながきれいにおよいでいる,魚が綺麗に泳いでいる
おちゅうのえいせいがきれい,宇宙の衛星が綺麗
うおきなあいすくりーむをたべる,大きなアイスクリームを食べる
おみのそばでのんびりする,海のそばでのんびりする
うとこのこがあそんでいる,男の子が遊んでいる
おたがとてもきれい,歌がとても綺麗
ううちにかえったときのあたたかさ,お家に帰った時の温かさ
おおちにかえったときのあたたかさ,お家に帰った時の温かさ
おすあかりにかくれたもの,薄明かりに隠れたもの
うじいちゃんといっしょにでかける,おじいちゃんと一緒に出かける
おぢいちゃんといっしょにでかける,おじいちゃんと一緒に出かける
おたごえがひびくこのば,歌声が響くこの場
おえをみあげるとほしがきらきら,上を見上げると星がキラキラ
うかしをたべるときのうれしさ,お菓子を食べるときの嬉しさ
おかしをたべるときのおれしさ,お菓子を食べるときの嬉しさ
おねりのあるかぜがふく,うねりのある風が吹く
うまつりでつくったけれどわすれた,お祭りで作ったけれど忘れた
おごくしぜんのなかでいきる,動く自然の中で生きる
うおきなやまがみえるからうれしい,大きな山が見えるから嬉しい
おおきなやまがみえるからおれしい,大きな山が見えるから嬉しい
おたをうたうとこころがうきたつ,歌を歌うと心が浮き立つ
おみのあさやけはとてもきれい,海の朝焼けはとても綺麗
うかしをつくってあそぶのがすき,お菓子を作って遊ぶのが好き
おえにあるせかいがみたい,上にある世界が見たい
うふろにはいってあたたまる,お風呂に入って温まる
おらのせんせいがとてもやさしい,裏の先生がとても優しい
うみやげをもってかえろうとする,お土産を持って帰ろうとする
おみやげをもってかえろおとする,お土産を持って帰ろうとする
おごくすがたをみるとわくわくする,動く姿を見るとワクワクする
うおきなねこがちかくにいる,大きな猫が近くにいる
おらがわからみるとまたちがう,裏側から見るとまた違う
うみせのちゅうしんでかざられている,お店の中心で飾られている
おみせのちゅおしんでかざられている,お店の中心で飾られている
おえのほうからふってくるゆき,上の方から降ってくる雪
さかなをさがしておみであそぶ,魚を探して海で遊ぶ
おすいももいろのさくらがさいている,薄い桃色の桜が咲いている
うもいでのあたたかいかおり,思い出の温かい香り
おたをうたうとしあわせをかんじる,歌を歌うと幸せを感じる
うたをうたうとしあわせをかんぢる,歌を歌うと幸せを感じる
